name,tags
Gala Night,elegant atmosphere|sparkles|red carpet|fancy lighting|evening wear
Nightmare Night,spooky mood|dark shadows|costume|pumpkins|cobwebs
Winter Wrap Up,snowy fields|scarves|cold breath|seasonal work|team effort
Summer Sun Celebration,bright sunlight|festival banners|excited crowd|royal decor
Friendship School,classroom setting|books|friendly expressions|student vibe
Royal Coronation,royal hall|flowing robes|crown|applause|regal presence
Grand Galloping Gala,high society|elegance|chandeliers|violin music|dance floor
Wonderbolts Show,cheering crowd|air trails|arena|sky lights|uniforms
Crystal Empire,crystal buildings|northern lights|sparkling terrain|ice magic
Everfree Forest,mysterious forest|glowing plants|creatures watching|foggy paths
